Year,Month,Rasht
2015,1,157
2015,2,187.69
2015,3,103.14
2015,4,118.56
2015,5,6.4
2015,6,0.01
2015,7,80.93
2015,8,89.37
2015,9,69.33
2015,10,331.71
2015,11,159.82
2015,12,134.46
2016,1,121.92
2016,2,118.94
2016,3,93.69
2016,4,55.47
2016,5,11.07
2016,6,36.04
2016,7,154.42
2016,8,0
2016,9,234.65
2016,10,260.6
2016,11,178.96
2016,12,160.3
2017,1,88.26
2017,2,220.03
2017,3,72.64
2017,4,59.54
2017,5,7.54
2017,6,33.63
2017,7,5.03
2017,8,0.03
2017,9,211.06
2017,10,144.24
2017,11,47.85
2017,12,42.4
2018,1,199.78
2018,2,62.43
2018,3,24.96
2018,4,27.98
2018,5,30.05
2018,6,23.42
2018,7,32.62
2018,8,46.68
2018,9,67.05
2018,10,175.54
2018,11,132.55
2018,12,88.11
2019,1,93.62
2019,2,201.73
2019,3,188.68
2019,4,117.36
2019,5,22.35
2019,6,20.43
2019,7,128.06
2019,8,71.33
2019,9,197.88
2019,10,140.46
2019,11,267.22
2019,12,206.05
2020,1,181.82
2020,2,203.03
2020,3,105.64
2020,4,158.26
2020,5,9.58
2020,6,0.26
2020,7,22.37
2020,8,197.23
2020,9,3.34
2020,10,91.17
2020,11,243.6
2020,12,274.58
2021,1,102.88
2021,2,51.8
2021,3,84.33
2021,4,2.79
2021,5,35.05
2021,6,6.35
2021,7,104.41
2021,8,12.95
2021,9,114.3
2021,10,369.05
2021,11,183.9
2021,12,60.95
2022,1,138.68
2022,2,75.95
2022,3,172.46
2022,4,20.31
2022,5,60.98
2022,6,2.03
2022,7,31.99
2022,8,13.21
2022,9,144.03
2022,10,120.9
2022,11,97.04
2022,12,160.29
2023,1,117.34
2023,2,134.37
2023,3,77.46
2023,4,16
2023,5,124.72
2023,6,40.13
2023,7,111.23
2023,8,16.25
2023,9,214.12
2023,10,173.48
2023,11,96
2023,12,87.89
2024,1,222.5
2024,2,186.19
2024,3,51.05
2024,4,34.8
2024,5,147.83
2024,6,60.71
2024,7,136.15
2024,8,15.75
2024,9,120.4
2024,10,230.39
2024,11,166.62
2024,12,71.38
